"title","is_cancer"
"Separation of gas mixtures using Co(II) carborane-based porous coordination polymers.",true
"Gold nanoparticles for biology and medicine.",true
"Histological predictors of outcome in ependymoma are dependent on anatomic site within the central nervous system.",true
"Association of Testosterone Levels With Anemia in Older Men: A Controlled Clinical Trial.",true
"Gap structure effects on surface-enhanced Raman scattering intensities for gold gapped rods.",true
"Production of colony-stimulating factor(s) for granulocyte-macrophage and multipotential (granulocyte/erythroid/megakaryocyte/macrophage) hematopoietic progenitor cells (CFU-GEMM) by clonal lines of human IL-2-dependent T-lymphocytes.",true
"Tumor-specific cytotoxic T lymphocyte activity determines colorectal cancer patient prognosis.",true
"Multifunctional Skin-Like Electronics for Quantitative, Clinical Monitoring of Cutaneous Wound Healing.",true
"Polyvalent oligonucleotide iron oxide nanoparticle ""click"" conjugates.",true
"Myocardial perfusion and function in dogs with moderate coronary stenosis.",false
"The functional significance, distribution, and structure of LFA-1, LFA-2, and LFA-3: cell surface antigens associated with CTL-target interactions.",true
"Transitioning Home: Comprehensive Case Management for America's Heroes.",true
"In situ lipid dip-pen nanolithography under water.",true
"""Force-feedback"" leveling of massively parallel arrays in polymer pen lithography.",true
"Colorimetric Cu(2+) detection using DNA-modified gold-nanoparticle aggregates as probes and click chemistry.",true
"Synergism between Arsenic Trioxide and Aclacinomycin in AML.",true
"Human lymphocyte function-associated antigens.",true
"Assembly of nanorods into designer superstructures: the role of templating, capillary forces, adhesion, and polymer hydration.",true
"Interactions of T lymphocytes with human vascular endothelial cells: role of endothelial cells surface antigens.",true
"Bioluminescent nanosensors for protease detection based upon gold nanoparticle-luciferase conjugates.",true
"Lymphocytes recognize human vascular endothelial and dermal fibroblast Ia antigens induced by recombinant immune interferon.",true
"Human cytolytic T lymphocyte interactions with vascular endothelium and fibroblasts: role of effector and target cell molecules.",true
"Drivers of biodiagnostic development.",true
"Association of fatigue and depression with circulating levels of proinflammatory cytokines and epidermal growth factor receptor ligands: a correlative study of a placebo-controlled fatigue trial.",true
"Conjugated equine estrogens and peripheral arterial disease risk: the Women's Health Initiative.",false
"Epidemic and endemic HLA-B and DR associations in mucocutaneous lymph node syndrome.",true
"Relationship Between Depressive Symptoms and Social Cognitive Processing in Partners of Long-Term Breast Cancer Survivors.",true
"Chemical fabrication of heterometallic nanogaps for molecular transport junctions.",true
"Basic science seminar: cytotoxic T-lymphocyte response to HLA antigens.",true
"Matrix-assisted dip-pen nanolithography and polymer pen lithography.",true
"Using a qualitative approach to conceptualize concerns of patients with neurofibromatosis type 1 associated plexiform neurofibromas (pNF) across the lifespan.",true
"Downregulation of miR-452 Promotes Stem-like traits and Tumorigenicity of Gliomas.",true
"A DC-specific cytolytic T lymphocyte line is OKT8+1.",true
"Causes of increased renal echogenicity in pediatric patients.",true
"Hemolytic uremic syndrome and crescentic glomerulonephritis complicating childhood nephrosis.",true
"Force- and time-dependent feature size and shape control in molecular printing via polymer-pen lithography.",true
"Feeling Stressed under the Sun? RPA1 Acetylation to the Rescue.",true
"Long-term human cytolytic T-cell lines allospecific for HLA-DR6 antigen are OKT4+.",true
"Nanofabrication beyond electronics.",false
"Nanoparticle-based bio-barcode assay redefines ""undetectable"" PSA and biochemical recurrence after radical prostatectomy.",true
"Polyvalent oligonucleotide gold nanoparticle conjugates as delivery vehicles for platinum(IV) warheads.",true
"Intrinsic Disorder in the Kinesin Superfamily.",true
"Plasmon-mediated synthesis of silver triangular bipyramids.",false
"Multiplexed protein arrays enabled by polymer pen lithography: addressing the inking challenge.",false
"Nano-flares for mRNA regulation and detection.",true
"Complementary electrical and spectroscopic detection assays with on-wire-lithography-based nanostructures.",false
"Three distinct antigens associated with human T-lymphocyte-mediated cytolysis: LFA-1, LFA-2, and LFA-3.",true
"Developing patient-reported outcome measures for pain clinical trials: IMMPACT recommendations.",false
"A CRISPR screen identifies a pathway required for paraquat-induced cell death.",true
"Immunoregulatory abnormalities in mucocutaneous lymph node syndrome.",true
"Aptamer nano-flares for molecular detection in living cells.",true
"Mitochondrial redox signaling enables repair of injured skeletal muscle cells.",true
"Peritonitis in childhood nephrotic syndrome: 1970-1980.",true
"Technique for infrequent arterial blood gas monitoring in the newborn.",true
"Agarose-assisted dip-pen nanolithography of oligonucleotides and proteins.",false
"Water-soluble macrocycles synthesized via the weak-link approach.",false
"Synthetically programmable DNA binding domains in aggregates of DNA-functionalized gold nanoparticles.",true
"HLA antigens in mucocutaneous lymph node syndrome in New England.",true
"Preventing Postpartum Depression in a Pediatric Primary Care Clinic: A Pilot Study.",true
"Carborane-based pincers: synthesis and structure of SeBSe and SBS Pd(II) complexes.",false
"Nonequilibrium population dynamics of phenotype conversion of cancer cells.",true
"Mucocutaneous lymph node syndrome and hydropic gallbladders.",true
"Molecular recognition and self-assembly special feature: Assembly and organization processes in DNA-directed colloidal crystallization.",true
"Left ventricular diastolic heart failure in teenagers who underwent balloon aortic valvuloplasty in early infancy.",false
"On-wire lithography: synthesis, encoding and biological applications.",true
"HLA-derived peptides as novel immunosuppressives.",true
"Mitochondrial control of immunity: beyond ATP.",true
"Surprisingly long-range surface-enhanced Raman scattering (SERS) on Au-Ni multisegmented nanowires.",false
"TNF alpha induces expression of the chemoattractant cytokine RANTES in cultured mouse mesangial cells.",true
"Plasmonically controlled nucleic acid dehybridization with gold nanoprisms.",true
"In-wire conversion of a metal nanorod segment into an organic semiconductor.",true
"Generation of metal photomasks by dip-pen nanolithography.",true
"RANTES chemokine expression in cell-mediated transplant rejection of the kidney.",true
"Colorimetric nitrite and nitrate detection with gold nanoparticle probes and kinetic end points.",true
"Novel tumor-associated accessory molecules involved in the gamma/delta cytotoxic T-lymphocyte-Burkitt's lymphoma interaction.",true
"Gas-sorption properties of cobalt(II)--carborane-based coordination polymers as a function of morphology.",true
"Colloidal gold and silver triangular nanoprisms.",true
"Genomic organization and transcriptional regulation of the RANTES chemokine gene.",true
"Does nasogastric tube decompression get used less often with laparoscopic and hand-assisted compared with open colectomy?",true
"The role radius of curvature plays in thiolated oligonucleotide loading on gold nanoparticles.",true
"Insulin-like growth factor binding protein-3 protease activity in the urine of children with chronic renal failure.",true
"Spectroscopic tracking of molecular transport junctions generated by using click chemistry.",true
"Regulation of mitochondrial biogenesis in erythropoiesis by mTORC1-mediated protein translation.",true
"A bistable poly[2]catenane forms nanosuperstructures.",false
"Prospects for induction of tolerance in renal transplantation.",true
"Gene regulation with polyvalent siRNA-nanoparticle conjugates.",true
"A microfluidic detection system based upon a surface immobilized biobarcode assay.",true
"Templated spherical high density lipoprotein nanoparticles.",false
"HLA-derived peptides as novel immunotherapeutics.",true
"Redox-activating dip-pen nanolithography (RA-DPN).",true
"Adipocyte dysfunction and hypertension.",false
"Polyvalent DNA nanoparticle conjugates stabilize nucleic acids.",true
"Curvature-induced base pair ""slipping"" effects in DNA-nanoparticle hybridization.",true
"DNA-gold triangular nanoprism conjugates.",false
"Topographically flat, chemically patterned PDMS stamps made by dip-pen nanolithography.",false
"Metabolism and Skeletal Muscle Homeostasis in Lung Disease.",true
"Peptide antisense nanoparticles.",true
"Multiplexed lipid dip-pen nanolithography on subcellular scales for the templating of functional proteins and cell culture.",true
"The induction of tolerance to alloantigens using HLA-based synthetic peptides.",true
"AMP-activated protein kinase and energy balance in breast cancer.",true
"Surface plasmon-mediated energy transfer in heterogap Au-Ag nanowires.",false
"Atopic dermatitis is associated with a functional mutation in the promoter of the C-C chemokine RANTES.",false
"""Three-dimensional hybridization"" with polyvalent DNA-gold nanoparticle conjugates.",false
"Polymer pen lithography.",false
"PCR-like cascade reactions in the context of an allosteric enzyme mimic.",false
"Chip-based scanometric detection of mercuric ion using DNA-functionalized gold nanoparticles.",false
"The relationship of single-strand breaks in DNA to breast cancer risk and to tissue concentrations of oestrogens.",true
"A self-correcting inking strategy for cantilever arrays addressed by an inkjet printer and used for dip-pen nanolithography.",false
"Applications of dip-pen nanolithography.",true
"Iodide ions control seed-mediated growth of anisotropic gold nanoparticles.",false
"Plasmon-Mediated Synthesis of Silver Cubes with Unusual Twinning Structures Using Short Wavelength Excitation.",true
"Gamma delta T cell recognition of tumor Ig peptide.",true
"Heteroligated supramolecular coordination complexes formed via the halide-induced ligand rearrangement reaction.",false
"The nature of allorecognition.",true
"A new approach to amplified telomerase detection with polyvalent oligonucleotide nanoparticle conjugates.",false
"Bedside Back to Bench: Building Bridges between Basic and Clinical Genomic Research.",true
"An IL13 coding region variant is associated with a high total serum IgE level and atopic dermatitis in the German multicenter atopy study (MAS-90).",false
"Controlling the lattice parameters of gold nanoparticle FCC crystals with duplex DNA linkers.",false
"Peptides corresponding to the CD8 and CD4 binding domains of HLA molecules block T lymphocyte immune responses in vitro.",true
"Apolipoprotein L1 Variants and Blood Pressure Traits in African Americans.",true
"Polyethylene glycol as a novel resist and sacrificial material for generating positive and negative nanostructures.",false
"Mechanistic study of photomediated triangular silver nanoprism growth.",false
"Transplantation immunology.",true
"On-wire lithography-generated molecule-based transport junctions: a new testbed for molecular electronics.",false
"T cells in autoimmunity and allograft rejection.",true
"10-Year Analysis of Benign Ovarian Teratomas: Outcomes and Follow-Up.",true
"Improving ultrasound reflectivity and stability of echogenic liposomal dispersions for use as targeted ultrasound contrast agents.",false
"Detection of HIV-1 p24 Gag in plasma by a nanoparticle-based bio-barcode-amplification method.",false
"Anterior muscle sparing approach for total hip arthroplasty.",true
"Fluorescence recovery assay for the detection of protein-DNA binding.",false
"Rationally designed nanostructures for surface-enhanced Raman spectroscopy.",false
"Induction of allograft tolerance in rats by an HLA class-I-derived peptide and cyclosporine A.",true
"Electrically biased nanolithography with KOH-coated AFM tips.",false
"The CD8 coreceptor interaction with the alpha 3 domain of HLA class I is critical to the differentiation of human cytotoxic T-lymphocytes specific for HLA-A2 and HLA-Cw4.",true
"Controlling the metal to semiconductor transition of MoS and WS in solution.",true
"Thermodynamically controlled separation of polyvalent 2-nm gold nanoparticle-oligonucleotide conjugates.",false
"Spherical nucleic acid targeting microRNA-99b enhances intestinal MFG-E8 gene expression and restores enterocyte migration in lipopolysaccharide-induced septic mice.",true
"Genome-wide study of resistant hypertension identified from electronic health records.",true
"Tiny tiles, tiny targets.",false
"Peptides corresponding to T-cell receptor-HLA contact regions inhibit class I-restricted immune responses.",true
"Peptides corresponding to the CD8 binding region of HLA class I block the differentiation of cytotoxic T lymphocyte precursors.",true
"DNA-programmable nanoparticle crystallization.",false
"Kinetics of transcription factors regulating the RANTES chemokine gene reveal a developmental switch in nuclear events during T-lymphocyte maturation.",true
"Spectroscopically enhancing electrical nanotraps.",false
"Kinetically controlled, shape-directed assembly of nanorods.",false
"Control of embryonic lung branching morphogenesis by the Rho activator, cytotoxic necrotizing factor 1.",false
"A DNA-gold nanoparticle-based colorimetric competition assay for the detection of cysteine.",false
"Immunosuppressive peptides corresponding to MHC class I sequences.",true
"Nanodisk codes.",false
"Erratum: Heritable GATA2 mutations associated with familial AML-MDS: a case report and review of literature.",true
"Quantitative immunoblot assay for assessment of liposomal antibody conjugation efficiency.",false
"Nano-flares: probes for transfection and mRNA detection in living cells.",true
"Identification of heterozygote carriers of congenital adrenal hyperplasia by radioimmunoassay of serum 17-OH progesterone.",true
"Cohesin Mutations in Myeloid Malignancies.",true
"Oligonucleotide loading determines cellular uptake of DNA-modified gold nanoparticles.",true
"Stimulus specificity of matrix metalloproteinase dependence of human T cell migration through a model basement membrane.",true
"Rational design and synthesis of catalytically driven nanorotors.",false
"BAR proteins in cancer and blood disorders.",true
"HLA-derived peptides which inhibit T cell function bind to members of the heat-shock protein 70 family.",true
"Human leukocyte antigen-derived peptides as novel immunosuppressives.",true
"Boost IORT in Breast Cancer: Body of Evidence.",true
"Allosteric regulation of phosphate diester transesterification based upon a dinuclear zinc catalyst assembled via the weak-link approach.",false
"Nonenzymatic detection of bacterial genomic DNA using the bio bar code assay.",false
"Tumor-specific, cytotoxic T-lymphocyte response after idiotype vaccination for B-cell, non-Hodgkin's lymphoma.",true
"RANTES chemokine expression in diseased and normal human tissues.",true
"Synthesis and hydrogen sorption properties of carborane based metal-organic framework materials.",false
"Identification of a novel regulatory region critical for expression of the RANTES chemokine in activated T lymphocytes.",true
"The power of the pen: development of massively parallel dip-pen nanolithography.",false
"Immunologic tolerance: tailored antigen.",true
"Physical correlates of the ultrasonic reflectivity of lipid dispersions suitable as diagnostic contrast agents.",false
"Novel immunotherapeutic strategies using MHC derived peptides.",true
"Screening the sequence selectivity of DNA-binding molecules using a gold nanoparticle-based colorimetric approach.",false
"A convergent coordination chemistry-based approach to dissymmetric macrocyclic cofacial porphyrin complexes.",false
"Structure of HLA molecules and immunosuppressive effects of HLA derived peptides.",true
"Nanoparticle-Based biobarcode amplification assay (BCA) for sensitive and early detection of human immunodeficiency type 1 capsid (p24) antigen.",false
"ETO2-GLIS2 Hijacks Transcriptional Complexes to Drive Cellular Identity and Self-Renewal in Pediatric Acute Megakaryoblastic Leukemia.",true
"GATA factor mutations in hematologic disease.",true
"A coordination chemistry approach to a multieffector enzyme mimic.",false
"Homogeneous detection of nucleic acids based upon the light scattering properties of silver-coated nanoparticle probes.",false
"Cytotoxic T lymphocyte recognition of non-Hodgkin's B cell lymphomas.",true
"Allosterically regulated supramolecular catalysis of acyl transfer reactions for signal amplification and detection of small molecules.",false
"Immunomodulation by HLA class I-derived peptides.",true
"A discrete cell cycle checkpoint in late G(1) that is cytoskeleton-dependent and MAP kinase (Erk)-independent.",false
"Biochemical and Functional Significance of F-BAR Domain Proteins Interaction with WASP/N-WASP.",true
"Identifying novel genes in chronic myeloid leukemia.",true
"Microarray detection of duplex and triplex DNA binders with DNA-modified gold nanoparticles.",false
"Silver nanoparticle-oligonucleotide conjugates based on DNA with triple cyclic disulfide moieties.",true
"Locked nucleic acid-nanoparticle conjugates.",true
"Dynamic interconversion of amorphous microparticles and crystalline rods in salen-based homochiral infinite coordination polymers.",true
"RANTES chemokine expression in transplant-associated accelerated atherosclerosis.",true
"Colorimetric detection of mercuric ion (Hg2+) in aqueous media using DNA-functionalized gold nanoparticles.",true
